UNIQUE_CODE,FIRST_ORDER_DATE,LATEST_ORDER_DATE,TENURE_IN_COMPLETE_DAYS,STATUS,GMV_10K_LEVEL_VOICE_PLATFORM,CUISINE_TYPE,SERVICE_TYPE,SERVICE_RATE_PERCENT,ORDER_COUNT_VOICE_PLATFORM,ZIP_CODE,BUSINESS_PHONE_COUNT,WEEKLY_SERVICE_HOURS,TOTAL_MISTAKES_COUNT,AVG_CALL_DURATION_SECONDS
TEST##85285,2023-03-22,2025-10-05,928,active,level_2 ($20000 to $29999),chinese_american,part_time,6.99,22623,18951,2,27,155,70
TEST##89609,2025-09-12,2025-10-05,23,active,level_1 ($10000 to $19999),chinese_american,full_time,6.99,364,03868,2,57,16,67
TEST##87266,2024-06-08,2024-08-15,68,canceled,level_0 ($0 to $9999),advanced,full_time,6.99,206,81521,2,,11,113
TEST##86218,2023-10-10,2025-10-05,726,active,level_4 ($40000 to $49999),chinese_american,full_time,6.99,27753,76148,1,63,81,77
TEST##89065,2025-01-26,2025-10-06,253,active,level_1 ($10000 to $19999),chinese_american,full_time,8.39,5565,63141,2,63,20,76
TEST##85366,2023-04-20,2024-10-31,560,suspended,level_0 ($0 to $9999),japanese,full_time,6.99,4971,70809,2,62,46,79
TEST##86551,2023-12-01,2024-10-14,318,suspended,level_0 ($0 to $9999),chinese_american,full_time,7.59,2569,10538,2,67,29,44
TEST##85222,2023-03-02,2023-03-08,6,canceled,level_2 ($20000 to $29999),chinese_american,full_time,6.99,168,12534,1,,14,108
TEST##86757,2024-01-04,2024-01-08,4,canceled,level_2 ($20000 to $29999),chinese_american,full_time,6.99,196,30907,2,,9,96
TEST##86173,2023-09-27,2023-10-14,17,suspended,level_0 ($0 to $9999),chinese_american,full_time,6.99,286,19121,1,,4,68
TEST##86933,2024-02-13,2025-10-06,601,active,level_0 ($0 to $9999),advanced,full_time,6.99,8831,28210,1,81,62,82
TEST##85575,2023-06-02,2025-10-06,857,active,level_1 ($10000 to $19999),chinese_american,full_time,8.59,23760,33313,2,84,167,100
TEST##83968,2023-01-01,2025-10-06,1009,active,level_3 ($30000 to $39999),chinese_japanese,full_time,6.99,27960,28540,2,61,109,84
TEST##85519,2023-05-04,2025-10-05,885,active,level_4 ($40000 to $49999),chinese_japanese,full_time,7.65,30309,08203,1,63,118,91
TEST##87036,2024-03-13,2024-12-15,277,canceled,level_2 ($20000 to $29999),japanese,part_time,6.99,8180,30721,1,,30,88
TEST##87077,2024-03-30,2025-10-05,554,active,level_2 ($20000 to $29999),chinese_american,full_time,6.99,11920,06037,1,64,40,65
TEST##86739,2024-04-01,2025-10-05,552,active,level_4 ($40000 to $49999),chinese_american,full_time,8.39,26221,06120,2,71,170,102
TEST##87691,2024-09-21,2025-10-05,379,active,level_2 ($20000 to $29999),chinese_american,full_time,6.99,10143,45107,1,67,30,67
TEST##85098,2023-01-28,2023-11-30,306,canceled,level_1 ($10000 to $19999),advanced,full_time,6.25,2966,98311,2,,30,93
TEST##87258,2024-06-03,2024-12-31,211,suspended,level_0 ($0 to $9999),advanced,part_time,6.99,1145,63044,2,21,13,80
TEST##87152,2024-04-18,2025-02-12,300,suspended,level_0 ($0 to $9999),chinese_american,full_time,6.99,1632,02920,2,66,23,98
TEST##89117,2025-02-23,2025-10-05,224,active,level_2 ($20000 to $29999),chinese_american,full_time,6.99,6067,28722,2,62,8,58
TEST##89611,2025-09-15,2025-10-06,21,active,level_1 ($10000 to $19999),chinese_american,full_time,6.99,225,13021,1,62,7,89
TEST##86058,2023-09-30,2023-10-19,19,suspended,level_1 ($10000 to $19999),unknown,full_time,6.99,304,32073,2,,2,73
TEST##86201,2023-10-01,2023-12-24,84,canceled,level_0 ($0 to $9999),chinese_american,full_time,6.99,1007,42420,1,,4,46
TEST##85621,2023-06-16,2023-08-07,52,suspended,level_0 ($0 to $9999),advanced,full_time,6.99,195,43235,1,,3,67
TEST##86875,2024-02-01,2025-10-06,613,active,level_1 ($10000 to $19999),chinese_american,full_time,6.99,11037,77041,2,66,65,83
TEST##85591,2023-05-24,2025-10-05,865,active,level_1 ($10000 to $19999),chinese_american,full_time,6.99,23389,23455,2,67,72,64
TEST##85271,2023-03-20,2025-10-06,931,active,level_5 ($50000 to $59999),chinese_american,part_time,6.99,54039,17104,1,64,213,71
TEST##86873,2024-02-08,2025-10-06,606,active,level_3 ($30000 to $39999),chinese_japanese,full_time,6.99,18590,08028,2,72,48,82
TEST##85669,2023-06-29,2025-05-29,700,active,level_4 ($40000 to $49999),chinese_american,full_time,7.79,2310,10603,2,82,62,100
TEST##86735,2023-12-30,2024-11-07,313,canceled,level_8 ($80000 to $89999),chinese_american,part_time,6.99,22471,19602,2,,95,59
TEST##87806,2024-10-15,2025-10-05,355,active,level_3 ($30000 to $39999),chinese_american,full_time,7.59,10165,60445,2,61,56,95
TEST##89027,2025-01-08,2025-10-06,271,active,level_1 ($10000 to $19999),chinese_american,full_time,6.99,5836,28262,1,69,19,85
TEST##87601,2024-08-09,2025-10-06,423,active,level_0 ($0 to $9999),japanese,full_time,6.99,3998,32254,1,58,43,94
TEST##87712,2024-09-13,2024-09-28,15,canceled,level_0 ($0 to $9999),chinese_american,full_time,6.99,87,75034,1,,8,105
TEST##87769,2024-10-02,2024-11-30,59,suspended,level_1 ($10000 to $19999),chinese_japanese,full_time,8.09,820,20874,1,,5,120
TEST##86082,2023-09-07,2023-10-10,33,suspended,level_2 ($20000 to $29999),chinese_american,full_time,8.19,1139,18073,2,,4,83
TEST##89391,2025-09-15,2025-10-06,21,active,level_0 ($0 to $9999),chinese_japanese,full_time,6.99,66,63116,1,64,2,64
TEST##86751,2023-12-31,2025-10-05,644,active,level_2 ($20000 to $29999),chinese_american,full_time,7.99,17486,78230,3,65,143,78
TEST##85917,2023-08-24,2025-10-05,773,active,level_2 ($20000 to $29999),chinese_american,full_time,6.99,19591,33935,1,62,44,63
TEST##89568,2025-08-28,2025-10-05,38,active,level_0 ($0 to $9999),chinese_american,full_time,6.99,422,23464,1,64,15,54
TEST##89233,2025-04-11,2025-09-30,172,pause,level_1 ($10000 to $19999),chinese_american,full_time,7.59,2860,08857,2,27,19,96
TEST##85196,2023-02-21,2023-03-10,17,canceled,level_1 ($10000 to $19999),chinese_american,full_time,6.99,164,56573,2,,12,113
TEST##87308,2024-09-01,2025-10-06,400,active,level_1 ($10000 to $19999),advanced,full_time,6.99,3488,08015,,63,24,91
TEST##86009,2023-08-28,2023-10-12,45,canceled,level_1 ($10000 to $19999),chinese_american,full_time,8,798,20016,2,,18,109
TEST##86397,2023-11-22,2024-06-27,218,canceled,level_3 ($30000 to $39999),chinese_american,part_time,6.99,3835,12414,1,,4,78
TEST##89105,2025-02-17,2025-04-12,54,canceled,level_0 ($0 to $9999),japanese,full_time,6.99,240,07065,1,,2,80
TEST##86195,2023-10-01,2025-10-06,736,active,level_13 ($130000 to $139999),advanced,full_time,6.99,106672,19143,2,79,293,74
TEST##89505,2025-08-12,2025-10-05,54,active,level_3 ($30000 to $39999),chinese_american,full_time,6.99,1741,29072,2,67,60,93
TEST##86787,2024-01-16,2025-10-03,626,active,level_2 ($20000 to $29999),chinese_american,part_time,8.19,12515,18104,1,12,69,99
TEST##86216,2023-10-05,2025-10-06,732,active,level_2 ($20000 to $29999),chinese_american,full_time,6.99,18782,12412,2,60,116,75
TEST##85371,2023-04-19,2025-10-06,901,active,level_1 ($10000 to $19999),advanced,full_time,6.99,16741,11747,1,68,336,107
TEST##85613,2023-05-31,2023-06-16,16,canceled,level_0 ($0 to $9999),chinese_american,full_time,7.79,241,11218,2,,17,110
TEST##87591,2024-08-10,2025-10-06,422,active,level_2 ($20000 to $29999),chinese_american,part_time,6.99,7104,43567,2,27,46,69
TEST##86729,2024-01-01,2024-05-23,143,suspended,level_3 ($30000 to $39999),chinese_american,part_time,6.99,6358,29306,2,,20,63
TEST##85775,2023-07-09,2025-10-05,819,active,level_2 ($20000 to $29999),chinese_american,full_time,6.99,19436,33604,2,66,122,85
TEST##85726,2023-06-29,2024-12-04,524,suspended,level_2 ($20000 to $29999),chinese_american,full_time,6.99,19818,33169,1,,69,78
TEST##87193,2024-05-15,2025-10-06,509,active,level_1 ($10000 to $19999),chinese_american,full_time,7.59,6722,30005,1,64,34,92
TEST##85339,2023-04-13,2025-10-03,904,active,level_3 ($30000 to $39999),chinese_american,part_time,8.19,8121,19145,2,4,49,107
TEST##85963,2023-08-25,2024-06-09,289,canceled,level_2 ($20000 to $29999),chinese_american,part_time,6.99,4772,03054,2,,54,81
TEST##86518,2023-11-24,2025-10-03,679,active,level_3 ($30000 to $39999),chinese_american,part_time,7.99,9635,19056,1,30,78,95
TEST##85682,2023-06-16,2025-10-06,843,active,level_2 ($20000 to $29999),chinese_american,full_time,7.59,24393,33458,1,9,64,87
TEST##86631,2023-12-17,2025-10-05,658,active,level_4 ($40000 to $49999),chinese_american,full_time,6.99,36030,44133,1,62,71,66
TEST##86859,2024-02-01,2024-07-31,181,canceled,level_0 ($0 to $9999),japanese,full_time,6.99,1507,33020,1,,22,89
TEST##89215,2025-04-03,2025-10-05,185,active,level_3 ($30000 to $39999),chinese_american,full_time,7.79,5679,32277,2,64,38,86
TEST##89361,2025-07-03,2025-10-05,94,active,level_2 ($20000 to $29999),chinese_american,part_time,7.59,1628,11572,2,18,27,112
TEST##85713,2023-06-28,2025-10-06,831,active,level_1 ($10000 to $19999),chinese_american,full_time,7.99,10368,85210,1,60,69,101
TEST##85338,2023-04-15,2025-02-23,680,canceled,level_0 ($0 to $9999),advanced,part_time,6.99,2352,80909,1,,18,96
TEST##87975,2024-12-07,2025-10-06,303,active,level_1 ($10000 to $19999),chinese_japanese,full_time,6.99,3249,19335,2,60,9,77
TEST##87872,2024-11-07,2025-02-17,102,canceled,level_0 ($0 to $9999),japanese,full_time,6.99,127,07055,1,,9,85
TEST##85032,2023-01-11,2023-10-29,291,canceled,level_1 ($10000 to $19999),advanced,part_time,6.99,1162,27215,2,,6,76
TEST##87775,2024-10-08,2025-04-02,176,canceled,level_0 ($0 to $9999),japanese,full_time,6.99,917,29418,1,,7,77
TEST##85975,2023-08-21,2025-10-06,777,active,level_1 ($10000 to $19999),chinese_american,full_time,6.99,10569,18015,2,60,27,65
TEST##85212,2023-02-28,2025-10-06,951,active,level_2 ($20000 to $29999),chinese_american,full_time,7.59,20323,04005,2,59,293,109
TEST##86566,2023-11-30,2025-10-06,676,active,level_1 ($10000 to $19999),chinese_american,full_time,6.99,9578,46221,1,59,40,66
TEST##85671,2023-06-17,2025-10-06,842,active,level_3 ($30000 to $39999),chinese_american,full_time,7.99,34615,10962,2,65,127,88
TEST##85069,2023-02-01,2024-06-14,499,canceled,level_3 ($30000 to $39999),chinese_american,full_time,6.99,20133,23116,2,,82,69
TEST##89329,2025-06-24,2025-10-06,104,active,level_1 ($10000 to $19999),chinese_american,full_time,7.59,2099,34744,1,76,19,86
TEST##89586,2025-08-30,2025-10-06,37,active,level_2 ($20000 to $29999),chinese_american,full_time,6.99,1242,33803,2,65,18,74
TEST##89658,2025-10-02,2025-10-06,4,active,level_2 ($20000 to $29999),chinese_american,full_time,,128,48195,1,64,14,83
TEST##87001,2024-03-06,2024-10-31,239,suspended,level_0 ($0 to $9999),chinese_japanese,full_time,6.99,1027,33602,1,61,8,64
TEST##86696,2023-12-25,2025-10-06,651,active,level_0 ($0 to $9999),advanced,full_time,6.99,3594,30032,1,80,18,82
TEST##86668,2023-12-23,2025-06-28,553,canceled,level_0 ($0 to $9999),chinese_american,full_time,6.99,1372,87105,1,56,5,71
TEST##87852,2024-11-01,2025-03-28,147,suspended,level_0 ($0 to $9999),chinese_american,full_time,7.59,609,98584,1,60,6,89
TEST##86769,2024-01-16,2025-02-13,394,canceled,level_0 ($0 to $9999),advanced,full_time,6.99,3161,38116,1,,26,101
TEST##89252,2025-04-30,2025-10-06,159,active,level_2 ($20000 to $29999),chinese_american,full_time,8.19,4473,10028,2,79,24,95
TEST##87738,2024-09-24,2025-10-06,377,active,level_0 ($0 to $9999),chinese_american,full_time,6.99,2287,91950,1,72,7,86
TEST##86505,2023-11-30,2023-12-16,16,canceled,level_0 ($0 to $9999),chinese_american,part_time,8.59,129,08751,2,,8,111
TEST##89102,2025-03-01,2025-03-03,2,suspended,level_1 ($10000 to $19999),japanese,full_time,7.65,32,10305,2,64,2,130
TEST##86712,2024-01-29,2024-02-19,21,canceled,level_1 ($10000 to $19999),chinese_japanese,full_time,6.99,243,39520,2,,3,108
TEST##85189,2023-02-28,2025-10-06,951,active,level_1 ($10000 to $19999),chinese_american,part_time,6,12269,89106,1,71,121,111
TEST##87192,2024-05-18,2025-10-06,506,active,level_1 ($10000 to $19999),chinese_american,full_time,6.59,12723,10454,3,69,88,88
TEST##89133,2025-03-05,2025-10-06,215,active,level_4 ($40000 to $49999),chinese_american,full_time,6.99,9464,46342,2,61,29,89
TEST##87175,2024-06-03,2025-10-06,490,active,level_1 ($10000 to $19999),chinese_american,full_time,6.99,8105,33625,1,68,24,76
TEST##85882,2023-08-07,2024-01-31,177,suspended,level_1 ($10000 to $19999),chinese_american,full_time,8,2376,01913,2,,43,102
TEST##87137,2024-04-13,2025-10-06,541,active,level_1 ($10000 to $19999),chinese_american,full_time,6.99,7910,72201,3,65,85,87
TEST##87393,2024-07-12,2025-10-06,451,active,level_5 ($50000 to $59999),japanese,full_time,6.99,22247,35045,1,59,56,87
TEST##87537,2024-07-28,2025-10-06,435,active,level_1 ($10000 to $19999),chinese_american,full_time,6.99,6028,47714,1,66,29,70
TEST##85689,2023-06-19,2023-06-23,4,suspended,level_3 ($30000 to $39999),chinese_american,full_time,7.59,124,80917,3,,18,125
TEST##86028,2023-08-27,2025-10-03,768,active,level_2 ($20000 to $29999),chinese_american,part_time,6.99,10290,19320,3,5,18,66
TEST##85953,2023-08-24,2025-10-06,774,active,level_0 ($0 to $9999),chinese_american,part_time,8.39,4932,08002,2,27,24,80
TEST##87395,2024-10-12,2025-09-30,353,canceled,level_0 ($0 to $9999),advanced,full_time,6.99,779,91702,1,74,8,70
TEST##87503,2024-07-17,2024-11-04,110,canceled,level_0 ($0 to $9999),chinese_american,full_time,6.99,236,25801,1,,8,56
TEST##87927,2024-12-06,2025-02-02,58,canceled,level_0 ($0 to $9999),chinese_japanese,full_time,6.99,152,32561,2,61,,74
TEST##86888,2024-03-02,2024-03-30,28,canceled,level_0 ($0 to $9999),japanese,full_time,6.99,29,97086,1,,,84
TEST##86113,2023-10-30,2024-02-11,104,canceled,level_0 ($0 to $9999),chinese_american,full_time,6.99,39,91706,1,,,51
TEST##87363,2024-07-01,2024-09-05,66,canceled,level_0 ($0 to $9999),japanese,full_time,6.99,66,98133,1,,,65
TEST##87956,2024-11-30,2024-12-25,25,canceled,level_2 ($20000 to $29999),chinese_american,full_time,7.59,149,55106,1,,1,123
TEST##87855,2024-10-31,2024-11-09,9,canceled,level_0 ($0 to $9999),chinese_american,part_time,7.59,7,03301,2,,1,117
TEST##86389,2023-11-15,2023-11-16,1,suspended,level_0 ($0 to $9999),chinese_american,full_time,6.99,8,62439,1,,1,95
TEST##87721,2024-09-14,2025-03-15,182,canceled,level_0 ($0 to $9999),chinese_american,full_time,6.99,147,93030,1,,1,84
TEST##86327,2023-10-31,2023-11-29,29,suspended,level_0 ($0 to $9999),chinese_japanese,full_time,6.99,201,70634,1,,1,66
TEST##89019,2025-01-03,2025-02-11,39,canceled,level_0 ($0 to $9999),chinese_japanese,full_time,6.99,141,88240,1,,1,95
TEST##89267,2025-05-03,2025-10-05,155,active,level_3 ($30000 to $39999),chinese_american,full_time,6.99,4076,15642,1,43,47,77
TEST##85551,2023-05-15,2025-10-06,875,active,level_4 ($40000 to $49999),chinese_american,full_time,6.99,49612,27249,1,59,113,71
TEST##87262,2024-06-01,2025-10-05,491,active,level_7 ($70000 to $79999),advanced,part_time,6.99,33443,29006,2,30,220,72
TEST##87772,2024-10-02,2025-10-06,369,active,level_3 ($30000 to $39999),chinese_american,full_time,7.59,13576,11727,3,66,113,97
TEST##86862,2024-02-14,2024-10-31,260,canceled,level_1 ($10000 to $19999),advanced,full_time,6.99,3805,32818,2,,77,117
TEST##89278,2025-05-14,2025-10-06,145,active,level_3 ($30000 to $39999),chinese_american,full_time,6.99,4920,64131,2,65,34,79
TEST##87329,2024-06-26,2024-08-12,47,canceled,level_0 ($0 to $9999),chinese_american,full_time,8.59,554,11228,2,,23,84
TEST##87109,2024-04-05,2024-07-24,110,suspended,level_2 ($20000 to $29999),chinese_american,full_time,7.59,2907,34470,2,,23,89
TEST##85068,2023-01-18,2025-10-04,990,active,level_3 ($30000 to $39999),chinese_american,part_time,6.99,21142,27589,2,14,41,67
TEST##86069,2023-09-07,2024-03-18,193,suspended,level_2 ($20000 to $29999),chinese_american,full_time,6.99,888,95370,2,,9,85
TEST##86602,2023-12-09,2025-01-31,419,canceled,level_1 ($10000 to $19999),chinese_american,part_time,6.99,1770,28097,2,,12,77
TEST##87182,2024-05-05,2024-06-11,37,suspended,level_1 ($10000 to $19999),advanced,full_time,6.99,570,20722,1,,26,111
TEST##89196,2025-04-02,2025-10-06,187,active,level_1 ($10000 to $19999),chinese_american,full_time,6.99,3107,18902,2,61,22,84
TEST##89598,2025-09-17,2025-10-06,19,active,level_0 ($0 to $9999),chinese_american,full_time,7.59,137,15232,1,72,11,78
TEST##86755,2024-01-05,2025-10-05,639,active,level_1 ($10000 to $19999),chinese_american,full_time,6.99,7770,19426,1,62,18,69
TEST##86985,2024-02-22,2025-05-31,464,canceled,level_0 ($0 to $9999),japanese,full_time,6.99,2516,11580,1,,8,84
TEST##89306,2025-05-28,2025-10-06,131,active,level_0 ($0 to $9999),japanese,part_time,6.99,893,37355,2,62,14,77
TEST##87559,2024-08-15,2025-10-06,417,active,level_1 ($10000 to $19999),chinese_japanese,full_time,6.99,4963,78130,2,72,5,74
TEST##86151,2023-09-22,2023-11-03,42,suspended,level_3 ($30000 to $39999),chinese_american,part_time,7.59,212,10583,2,,7,115
TEST##89055,2025-01-21,2025-10-06,258,active,level_1 ($10000 to $19999),chinese_american,full_time,7.59,4210,18017,2,70,37,97
TEST##85807,2023-07-20,2025-10-06,809,active,level_5 ($50000 to $59999),chinese_american,full_time,8.19,47884,31061,2,68,614,105
TEST##85639,2023-06-08,2025-10-05,850,active,level_4 ($40000 to $49999),chinese_american,full_time,6.99,37121,34952,2,64,144,73
TEST##86155,2023-09-21,2025-10-06,746,active,level_2 ($20000 to $29999),chinese_american,part_time,8.19,20767,44601,2,63,134,87
TEST##85732,2023-07-09,2025-10-05,819,active,level_2 ($20000 to $29999),chinese_american,full_time,7.99,18628,08060,1,42,66,76
TEST##86929,2024-02-16,2025-10-06,598,active,level_1 ($10000 to $19999),chinese_american,full_time,7.59,5467,66067,1,62,34,87
TEST##86162,2023-09-20,2025-10-06,747,active,level_2 ($20000 to $29999),chinese_american,full_time,6.99,16231,45324,2,60,51,58
TEST##87101,2024-04-17,2025-10-06,537,active,level_4 ($40000 to $49999),chinese_american,full_time,8.59,47953,10033,3,91,310,70
TEST##86573,2023-12-05,2025-10-05,670,active,level_2 ($20000 to $29999),chinese_american,full_time,6.99,17749,44805,2,66,95,90
TEST##85095,2023-02-16,2025-10-06,963,active,level_2 ($20000 to $29999),chinese_american,full_time,6.99,22811,06512,1,66,133,70
TEST##85937,2023-08-14,2025-10-05,783,active,level_2 ($20000 to $29999),chinese_american,part_time,6.99,21342,20619,2,69,63,72
TEST##89036,2025-01-14,2025-10-05,264,active,level_3 ($30000 to $39999),chinese_american,part_time,7.79,5228,10705,2,15,35,88
TEST##86912,2024-02-19,2024-10-02,226,suspended,level_1 ($10000 to $19999),advanced,full_time,6.99,3593,33837,2,,30,113
TEST##87222,2024-05-14,2025-01-21,252,canceled,level_0 ($0 to $9999),chinese_american,full_time,6.99,1211,89052,1,,13,94
TEST##87369,2024-07-10,2024-08-31,52,suspended,level_2 ($20000 to $29999),chinese_american,full_time,7.59,863,80020,1,55,9,95
TEST##87312,2024-06-18,2024-07-02,14,suspended,level_2 ($20000 to $29999),chinese_american,full_time,6.99,441,50208,1,,3,69
TEST##85533,2023-05-03,2025-10-05,886,active,level_1 ($10000 to $19999),chinese_american,full_time,6.49,13703,89183,2,63,169,100
TEST##87086,2024-03-28,2024-05-31,64,suspended,level_2 ($20000 to $29999),chinese_american,part_time,8,1468,32817,2,,25,99
TEST##87636,2024-08-22,2025-10-05,409,active,level_1 ($10000 to $19999),chinese_american,full_time,6.99,5501,25143,1,60,37,78
TEST##85131,2023-02-03,2025-10-06,976,active,level_3 ($30000 to $39999),chinese_american,full_time,6.99,46546,32714,2,71,168,85
TEST##86005,2023-09-06,2025-10-05,760,active,level_1 ($10000 to $19999),japanese,full_time,6.99,8071,20906,2,61,30,79
TEST##85971,2023-08-24,2025-10-05,773,active,level_1 ($10000 to $19999),chinese_american,full_time,6.99,14937,30228,2,63,39,81
TEST##85173,2023-02-14,2025-06-29,866,canceled,level_0 ($0 to $9999),chinese_american,full_time,6.99,8589,53532,2,,29,79
TEST##87386,2024-07-11,2025-10-06,452,active,level_0 ($0 to $9999),japanese,part_time,8.65,512,10028,2,35,7,85
TEST##87812,2024-10-23,2025-10-06,348,active,level_2 ($20000 to $29999),chinese_american,part_time,7.59,3358,07035,2,15,57,102
TEST##85225,2023-03-04,2024-03-11,373,suspended,level_1 ($10000 to $19999),advanced,full_time,6.99,13351,19132,1,,47,64
TEST##86568,2023-12-06,2025-10-06,670,active,level_1 ($10000 to $19999),chinese_american,full_time,6.99,8751,75010,2,62,51,108
TEST##85661,2023-06-13,2025-10-05,845,active,level_2 ($20000 to $29999),chinese_american,full_time,6.99,18807,44254,2,64,41,64
TEST##85913,2023-08-14,2024-10-11,424,suspended,level_1 ($10000 to $19999),chinese_american,full_time,6.99,7379,33592,2,63,26,57
TEST##86179,2023-09-30,2025-03-21,538,canceled,level_0 ($0 to $9999),chinese_american,part_time,7.59,3407,22025,2,,22,112
TEST##87091,2024-03-29,2025-10-05,555,active,level_3 ($30000 to $39999),chinese_american,part_time,6.99,14815,38058,1,24,8,73
TEST##85652,2023-06-19,2025-04-29,680,suspended,level_0 ($0 to $9999),japanese,full_time,6.99,1237,R2C 4J5,1,57,45,91
TEST##89608,2025-09-17,2025-10-06,19,active,level_3 ($30000 to $39999),chinese_american,full_time,7.79,757,06460,2,79,23,85
TEST##86571,2023-12-09,2024-09-08,274,canceled,level_0 ($0 to $9999),advanced,full_time,6.99,1456,33165,1,,5,80
TEST##89236,2025-04-15,2025-10-05,173,active,level_1 ($10000 to $19999),chinese_american,full_time,6.99,2287,27284,2,51,16,67
TEST##89078,2025-02-03,2025-03-31,56,canceled,level_1 ($10000 to $19999),chinese_american,full_time,6.99,992,76227,1,,8,72
TEST##85251,2023-03-15,2023-05-25,71,canceled,level_0 ($0 to $9999),chinese_japanese,part_time,6.99,689,33305,1,,21,102
TEST##85336,2023-04-11,2025-10-04,907,active,level_1 ($10000 to $19999),chinese_american,part_time,6.99,7659,06040,1,14,23,74
TEST##89629,2025-09-23,2025-10-06,13,active,level_1 ($10000 to $19999),chinese_american,part_time,7.79,267,08046,1,29,19,96
TEST##89567,2025-08-19,2025-10-06,48,active,level_3 ($30000 to $39999),chinese_american,full_time,6.99,1678,13642,1,57,11,80
TEST##86102,2023-09-20,2023-09-28,8,suspended,level_0 ($0 to $9999),japanese,full_time,7.85,81,11801,2,,5,99
TEST##87629,2024-09-06,2024-12-31,116,suspended,level_0 ($0 to $9999),advanced,full_time,7.59,1138,97333,1,75,13,92
TEST##87986,2024-12-15,2025-10-06,295,active,level_0 ($0 to $9999),chinese_american,full_time,6.99,1570,84401,2,62,5,89
TEST##89123,2025-02-28,2025-03-03,3,suspended,level_0 ($0 to $9999),chinese_american,full_time,6.99,18,12571,1,64,2,79
TEST##85705,2023-06-26,2025-10-06,833,active,level_9 ($90000 to $99999),chinese_american,full_time,7.59,84597,33032,2,84,707,98
TEST##86008,2023-08-28,2025-10-06,770,active,level_4 ($40000 to $49999),chinese_american,full_time,6.99,38824,19709,2,69,104,71
